numberOfPlot,street,buildingCount
10,улица Александра Невского,58
10,улица Александра Чистякова,0
10,переулок Алексеева,0
10,Алеутская улица,0
10,Аллейная улица,2
10,Алма-Атинская улица,14
10,Алмазная улица,1
10,Алтайская улица,20
10,Алуштинская улица,1
10,Альпийская улица,3
10,Альпийский переулок,5
10,Амбулаторная улица,2
10,Амбулаторный переулок,0
10,Амурская улица,54
10,Ангарная улица,22
10,Андреевская улица,1
10,Анжерская улица,5
10,улица Аникина,28
10,Анисовая улица,0
10,Анодная улица,4
10,улица Аносова,6
10,Апрельская улица,1
10,Аральская улица,1
10,улица Арбузова,29
10,Аргунский переулок,2
10,улица Аренского,4
10,Арзамасская улица,1
10,Арктическая улица,5
10,Армавирская улица,0
10,улица Артема,1
10,Артиллерийская улица,161
10,Архангельская улица,2
10,улица Архангельская,1
10,Архитектурная улица,2
10,Архонский переулок,9
10,Астраханская улица,1
10,Астрономическая улица,0
10,Асфальтный переулок,28
10,Атлетическая улица,1
10,Ачинская улица,0
10,Ашхабадская улица,1
10,улица Аэропорт,76
10,Аянский переулок,3
11,улица Бабушкина,0
11,Баганская улица,6
11,улица Багратиона,0
11,улица Баженова,3
11,улица База Геологии,7
11,Базисная улица,2
11,улица Байдукова,1
11,Байкальская улица,17
11,Байкальский переулок,15
11,Бакинская улица,46
11,улица Балакирева,1
11,Балканская улица,2
11,Балластная улица,13
11,Балластный переулок,22
11,Балтийская улица,20
11,Баргузинская улица,0
11,улица Бардина,7
11,Барнаульская улица,1
11,Барнаульский переулок,0
11,Барышевская улица,1
11,Барьерная улица,27
11,Бассейный переулок,6
11,Батарейная улица,2
11,улица Баумана,11
11,улица Бебеля,11
11,улица Бегичева,1
11,Белая улица,0
11,улица Белинского,227
11,Беловежская улица,17
11,Белостокская улица,0
11,улица Белоусова,31
11,переулок Белухи,10
11,улица Белякова,0
11,Бердский переулок,4
11,Бердский тупик,12
11,Бердское шоссе,82
11,улица Бердышева,9
11,Береговая улица,3
11,Березовая улица,19
11,Березовская улица,2
11,Березовый проезд,2
11,Берестяная улица,0
11,Берилловая улица,0
11,улица Бессемера,1
11,улица Бестужева,9
11,Бетонная улица,43
11,улица Бетонный Переезд,1
11,улица Бетонный проезд,0
11,Биатлонная улица,2
11,Бийская улица,40
11,Бирюзовая улица,0
11,улица Бирюсинка,0
11,Благовещенская улица,6
11,Благовещенская 1-я улица,0
11,улица Блока,0
11,улица Блюхера,80
11,Бобруйский переулок,2
11,улица Богдана Хмельницкого,244
11,Боевая улица,2
11,Боевой переулок,1
11,Болотная улица,9
11,Больничный переулок,1
11,Большая улица,182
11,улица Большая 600/12,3
11,Большевистская улица,164
11,улица Бориса Богаткова,256
11,Боровая улица,10
11,улица Боровая Партия,20
11,Боровой переулок,38
11,улица Бородина,27
11,Бородинская улица,1
11,улица Борьбы,0
11,Ботаническая улица,20
11,Брестская улица,0
11,улица Бродского,1
11,Бронная улица,63
11,улица Брюллова,3
11,улица Брюсова,0
11,Брянская улица,2
11,Бугринская улица,12
11,Бугринский выселок переулок,1
11,Бугринское шоссе,0
11,Бугурусланская улица,1
11,улица Булавина,3
11,Бульварная улица,26
11,улица Бунина,0
11,улица Бурденко,59
11,Бурлинская улица,1
11,улица Бурлинский Переезд,1
11,Буровая улица,0
11,Быстрая улица,7
12,улица Вавилова,19
12,Валдайская улица,3
12,Варшавская улица,41
12,улица Василия Старощука,0
12,Васильковая улица,5
12,Васильковый переулок,0
12,улица Васнецова,3
12,Васюганская улица,2
12,улица Ватутина,122
12,улица Вахтангова,36
12,Вековая улица,1
12,Вербная улица,0
12,улица Вересаева,13
12,переулок Верещагина,0
12,улица Верещагина,2
12,Вертковская улица,89
12,Весенний проезд,3
12,Весенняя улица,14
12,Аллея ветеранов заельцовского района,0
12,Ветлужская улица,26
12,Взлетная улица,30
12,Видная улица,0
12,проезд Виктора Ващука,0
12,улица Виктора Уса,15
12,улица Виктора Шевелева,0
12,Вилюйская улица,27
